job_title,competence,grade,min_score
Дизайнер,Asana,Senior,4
Дизайнер,Jira,Junior,4
Дизайнер,Jira,Middle,4
Дизайнер,Jira,Senior,4
Дизайнер,Trello,Junior,2
Дизайнер,Trello,Middle,4
Дизайнер,Trello,Senior,4
Дизайнер,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Junior,2
Дизайнер,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Middle,4
Дизайнер,Навыки работы с технической документацией и разрешением технических проблем у пользователей.,Senior,4
Дизайнер,Разработка веб-приложений,Junior,2
Дизайнер,Разработка веб-приложений,Middle,4
Дизайнер,Разработка веб-приложений,Senior,4
Дизайнер,Разработка мобильных приложений Android,Junior,2
Дизайнер,Разработка мобильных приложений Android,Middle,4
Дизайнер,Разработка мобильных приложений Android,Senior,4
Дизайнер,Разработка мобильных приложений iOS,Junior,3
Дизайнер,Разработка мобильных приложений iOS,Middle,4
Дизайнер,Разработка мобильных приложений iOS,Senior,4
Дизайнер,Делегирование,Junior,2
Дизайнер,Делегирование,Middle,4
Дизайнер,Делегирование,Senior,5
Дизайнер,Менторство,Junior,2
Дизайнер,Менторство,Middle,4
Дизайнер,Менторство,Senior,5
Дизайнер,Обратная связь,Junior,2
Дизайнер,Обратная связь,Middle,4
Дизайнер,Обратная связь,Senior,5
Дизайнер,Планирование,Junior,5
Дизайнер,Планирование,Middle,4
Дизайнер,Планирование,Senior,4
Дизайнер,Соблюдение сроков,Junior,3
Дизайнер,Соблюдение сроков,Middle,4
Дизайнер,Соблюдение сроков,Senior,5
Дизайнер,ML,Junior,3
Дизайнер,ML,Middle,4
Дизайнер,ML,Senior,4
Дизайнер,Pandas,Junior,2
